X,Y,Vx,Vy,X_gt,Y_gt,Vx_gt,Vy_gt
101.178380,16.398179,0.667068,0.105027,101.065498,16.496960,0.991362,-0.513687
102.397421,16.400915,0.009263,0.000531,102.062798,15.994930,1.049110,-0.512803
102.082762,15.844977,0.720097,0.110680,102.062798,15.994930,1.049110,-0.512803
103.014912,15.354851,0.007187,-0.003385,103.118896,15.496730,1.117082,-0.508169
102.786812,15.068973,0.781255,0.110069,103.118896,15.496730,1.117082,-0.508169
104.126845,15.272602,0.010213,0.002052,104.243896,15.006370,1.194686,-0.498349
103.905716,14.788698,0.884127,0.126939,104.243896,15.006370,1.194686,-0.498349
105.554971,14.443327,0.012626,-0.002522,105.447098,14.529290,1.281109,-0.481861
105.325053,13.959655,0.881419,0.112540,105.447098,14.529290,1.281109,-0.481861
106.845236,14.050023,0.011600,0.001203,106.737297,14.072380,1.375293,-0.457255
106.445114,14.225296,1.049731,0.139316,106.737297,14.072380,1.375293,-0.457255
108.100355,13.662618,0.012630,-0.003335,108.121696,13.643960,1.475922,-0.423202
108.148304,13.597262,1.136975,0.136316,108.121696,13.643960,1.475922,-0.423202
109.552580,13.573542,0.010755,0.001082,109.606499,13.253560,1.581440,-0.378583
109.390630,13.170532,1.102749,0.133444,109.606499,13.253560,1.581440,-0.378583
111.080599,12.583574,0.012969,-0.003952,111.196098,12.911780,1.690076,-0.322574
111.448608,12.831652,1.246472,0.134720,111.196098,12.911780,1.690076,-0.322574
112.932540,12.489866,0.011331,-0.000579,112.893303,12.629890,1.799903,-0.254723
112.809615,12.768402,1.340829,0.147584,112.893303,12.629890,1.799903,-0.254723
114.822404,12.552902,0.015395,-0.000474,114.698799,12.419500,1.908905,-0.175007
114.925248,12.285343,1.380553,0.145434,114.698799,12.419500,1.908905,-0.175007
116.709167,12.105905,0.013749,-0.000596,116.611198,12.292110,2.015069,-0.083868
116.882200,12.019500,1.610846,0.162626,116.611198,12.292110,2.015069,-0.083868
118.978539,12.003549,0.016160,0.000721,118.627602,12.258640,2.116475,0.017771
118.861735,12.361753,1.621290,0.164691,118.627602,12.258640,2.116475,0.017771
120.721042,12.294402,0.014393,0.000405,120.742699,12.328940,2.211388,0.128528
120.942471,12.170684,1.647574,0.164791,120.742699,12.328940,2.211388,0.128528
123.594460,12.832330,0.020402,0.004883,122.950104,12.511400,2.298350,0.246599
123.141357,12.845876,1.765316,0.188934,122.950104,12.511400,2.298350,0.246599
124.922072,12.777323,0.014027,-0.001175,125.241699,12.812500,2.376243,0.369827
125.393617,12.903445,1.961881,0.195836,125.241699,12.812500,2.376243,0.369827
127.884460,13.330380,0.019214,0.004252,127.608704,13.236510,2.444340,0.495787
127.506197,13.231056,1.937311,0.205984,127.608704,13.236510,2.444340,0.495787
129.978255,13.699600,0.019290,0.002387,130.041504,13.785260,2.502323,0.621879
130.340501,13.789683,1.833339,0.194275,130.041504,13.785260,2.502323,0.621879
132.121267,14.510117,0.014039,0.004833,132.530396,14.457980,2.550277,0.745430
132.441275,14.469757,1.989588,0.224494,132.530396,14.457980,2.550277,0.745430
135.105280,15.051078,0.020814,0.002646,135.065994,15.251300,2.588654,0.863795
135.130397,14.697540,1.969473,0.217376,135.065994,15.251300,2.588654,0.863795
137.592058,16.218185,0.019298,0.009625,137.639404,16.159220,2.618214,0.974442
137.631542,16.768323,2.199730,0.278828,137.639404,16.159220,2.618214,0.974442
140.366576,17.012453,0.021582,-0.000938,140.242401,17.173330,2.639944,1.075029
140.337230,17.362917,2.187596,0.260490,140.242401,17.173330,2.639944,1.075029
142.923387,17.995943,0.019906,0.006554,142.867905,18.282949,2.654969,1.163464
142.616026,18.286779,2.160604,0.282574,142.867905,18.282949,2.654969,1.163464
145.426519,19.166157,0.022048,0.004524,145.509903,19.475430,2.664454,1.237952
145.790871,19.430451,2.215672,0.296860,145.509903,19.475430,2.664454,1.237952
148.286344,20.480080,0.019627,0.006572,148.163498,20.736410,2.669511,1.297019
148.138690,21.048699,2.097590,0.301298,148.163498,20.736410,2.669511,1.297019
150.719430,22.118987,0.020310,0.006149,150.824799,22.050159,2.671106,1.339530
150.635347,21.976854,2.259030,0.336823,150.824799,22.050159,2.671106,1.339530
153.458089,23.496246,0.022354,0.008410,153.490707,23.399920,2.669994,1.364696
153.437419,23.173535,2.125933,0.332222,153.490707,23.399920,2.669994,1.364696
156.080559,24.813773,0.021175,0.008123,156.158905,24.768221,2.666656,1.372076
155.989952,25.235807,2.006154,0.330254,156.158905,24.768221,2.666656,1.372076
158.936923,26.036018,0.023053,0.004090,158.827103,26.137230,2.661274,1.361574
159.022572,26.191418,2.285073,0.375973,158.827103,26.137230,2.661274,1.361574
161.448174,27.431598,0.019123,0.008346,161.493301,27.489111,2.653713,1.333437
161.505730,28.024332,2.060162,0.362976,161.493301,27.489111,2.653713,1.333437
163.658091,28.774034,0.017198,0.003610,164.155106,28.806360,2.643541,1.288250
164.128460,29.290756,2.121825,0.377293,164.155106,28.806360,2.643541,1.288250
166.861713,30.212210,0.021232,0.006720,166.809402,30.072130,2.630062,1.226937
166.724617,29.897431,2.105802,0.383911,166.809402,30.072130,2.630062,1.226937
169.130862,31.377878,0.019310,0.008061,169.452499,31.270611,2.612376,1.150751
169.302760,30.998860,2.104822,0.394799,169.452499,31.270611,2.612376,1.150751
172.208789,32.346753,0.023168,0.006451,172.079498,32.387321,2.589450,1.061263
172.131565,32.727376,2.122693,0.405071,172.079498,32.387321,2.589450,1.061263
174.676952,33.468962,0.019938,0.004855,174.684601,33.409451,2.560210,0.960341
174.484658,33.904690,1.980588,0.384563,174.684601,33.409451,2.560210,0.960341
177.061766,34.207045,0.019876,0.002851,177.260605,34.326172,2.523629,0.850119
177.217769,33.852793,1.897844,0.362385,177.260605,34.326172,2.523629,0.850119
180.175648,35.148087,0.022982,0.008666,179.799500,35.128868,2.478827,0.732949
179.523776,35.610226,1.867716,0.374475,179.799500,35.128868,2.478827,0.732949
182.629178,35.758961,0.023906,0.000986,182.292496,35.811359,2.425154,0.611338
182.105036,36.014031,1.842952,0.358588,182.292496,35.811359,2.425154,0.611338
184.761330,36.521146,0.020100,0.005984,184.730194,36.370041,2.362264,0.487877
184.812528,36.288681,1.661165,0.328941,184.730194,36.370041,2.362264,0.487877
186.972838,36.945730,0.017022,0.003578,187.102707,36.803951,2.290172,0.365145
187.298605,36.959484,1.819502,0.359433,187.102707,36.803951,2.290172,0.365145
189.494288,37.410912,0.017097,0.003313,189.400696,37.114712,2.209278,0.245623
189.730938,37.023767,1.674238,0.327231,189.400696,37.114712,2.209278,0.245623
191.762065,37.568341,0.015942,0.003348,191.615097,37.306400,2.120375,0.131591
191.674146,37.191110,1.588079,0.308687,191.615097,37.306400,2.120375,0.131591
193.496610,37.283892,0.014234,0.000586,193.737793,37.385349,2.024621,0.025045
193.583432,37.309588,1.487292,0.284443,193.737793,37.385349,2.024621,0.025045
196.015109,37.403613,0.018438,0.002120,195.762207,37.359798,1.923487,-0.072386
195.528543,37.403687,1.341493,0.255404,195.762207,37.359798,1.923487,-0.072386
197.745978,37.732610,0.016901,0.003260,197.683105,37.239498,1.818693,-0.159495
197.575668,37.367684,1.414795,0.267519,197.683105,37.239498,1.818693,-0.159495
199.316719,37.290489,0.013496,-0.000363,199.497192,37.035309,1.712115,-0.235529
199.385034,37.226176,1.200576,0.221730,199.497192,37.035309,1.712115,-0.235529
201.568224,37.000873,0.016420,0.000063,201.202896,36.758690,1.605699,-0.300201
200.977316,37.258393,1.132149,0.208340,201.202896,36.758690,1.605699,-0.300201
202.980459,36.460126,0.014781,-0.002686,202.801102,36.421249,1.501370,-0.353671
202.719700,36.905526,0.954674,0.171803,202.801102,36.421249,1.501370,-0.353671
204.005877,36.199405,0.009344,-0.001755,204.294098,36.034328,1.400951,-0.396497
203.841631,36.134422,1.091974,0.191056,204.294098,36.034328,1.400951,-0.396497
